John Doe;2022-01-01;100;50;2000
Alice Smith;2022-02-15;150;60;2500
Bob Johnson;2022-03-10;120;55;2200
Emma Davis;2022-04-20;80;40;1800
Mike Wilson;2022-05-05;90;45;1900
John Doe;2022-01-01;100;50;2000
Alice Smith;2022-02-15;150;60;2500
Bob Johnson;2022-03-10;120;55;2200
Emma Davis;2022-04-20;80;40;1800
Mike Wilson;2022-05-05;90;45;1900
Sarah Thompson;2022-06-10;110;50;2100
David Anderson;2022-07-15;130;55;2300
Jennifer Brown;2022-08-20;95;45;1950
Mark Davis;2022-09-25;105;50;2050
Laura Wilson;2022-10-30;115;55;2250
